3742097499808260378 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1614307536711205429 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
678069211821284473 False 1.4066696166992188e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2604541551656770631 False 1.4781951904296875e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
9215603342571305175 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8466517856233131700 False 1.430511474609375e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2204696902767359988 False 1.4781951904296875e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2518362918416880218 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8008846911082411603 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
5900776865633869845 False 1.5974044799804688e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
4008593638045989427 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
5530204594576965840 False 1.5497207641601562e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2593837031905053001 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7103721365071773597 False 1.4781951904296875e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6101471762554816824 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6917096854676860143 False 1.4781951904296875e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7869833660796949067 False 1.4543533325195312e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1430880564554075553 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
4241809372557546152 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7995911120884945598 False 1.3828277587890625e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7871695110445428514 False 1.5974044799804688e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3420294396237005550 False 1.4781951904296875e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
5972502794747088226 False 1.430511474609375e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2374003132741217365 False 1.5735626220703125e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
4628105096569514583 False 1.4781951904296875e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7959843487699385287 False 1.621246337890625e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
730406103080152015 False 1.430511474609375e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2444086543232740799 False 1.71661376953125e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2779760811019705019 False 1.4066696166992188e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8549164241128355180 False 1.5497207641601562e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8879465163201998471 False 1.430511474609375e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
67508926618993468 False 1.5974044799804688e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8073254906593913393 False 1.7881393432617188e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3455705559173713549 False 1.5974044799804688e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3199949077066308446 False 4.3392181396484375e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
366782505441813724 False 1.5497207641601562e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1999098422408286546 False 1.71661376953125e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
90283486411102819 False 1.5974044799804688e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
9214447648508815906 False 1.52587890625e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1517183759558741348 False 1.52587890625e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
253059788860805654 False 1.5497207641601562e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
4790313928112694138 False 1.5735626220703125e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1792805777855378356 False 1.52587890625e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2668043876291953040 False 1.5497207641601562e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2423490121332645385 False 1.4543533325195312e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
472078126236875991 False 1.4781951904296875e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
188276162040379587 False 1.4543533325195312e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7808593373786235304 False 1.5497207641601562e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
4619251432585755710 False 1.621246337890625e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
5255413152007307533 False 1.4543533325195312e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
4878182523866529994 False 1.5735626220703125e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
870046226486161554 False 1.52587890625e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
4071947352669293141 False 1.71661376953125e-05 pcputimes(user=0.13, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6451309344156555273 False 1.5735626220703125e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
214237283796602210 False 1.52587890625e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8826272865076423759 False 1.4781951904296875e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3484767428860694314 False 1.4543533325195312e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
983649996667272220 False 1.52587890625e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7094488755454382124 False 1.52587890625e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8917307773249645314 False 1.5974044799804688e-05 pcputimes(user=0.13, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
