8466517856233131700 False 5.555152893066406e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2204696902767359988 False 3.3855438232421875e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2518362918416880218 False 5.14984130859375e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
8008846911082411603 False 5.245208740234375e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
5900776865633869845 False 5.412101745605469e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
4008593638045989427 False 5.364418029785156e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
5530204594576965840 False 5.936622619628906e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2593837031905053001 False 5.507469177246094e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7103721365071773597 False 5.8650970458984375e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6101471762554816824 False 5.364418029785156e-05 pcputimes(user=0.11, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6917096854676860143 False 5.6743621826171875e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7869833660796949067 False 5.1975250244140625e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
1430880564554075553 False 4.696846008300781e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
4241809372557546152 False 5.435943603515625e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7995911120884945598 False 5.7697296142578125e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7871695110445428514 False 3.5762786865234375e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3420294396237005550 False 5.435943603515625e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
5972502794747088226 False 5.698204040527344e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2374003132741217365 False 5.1021575927734375e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
4628105096569514583 False 5.412101745605469e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7959843487699385287 False 5.5789947509765625e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
